libellé métier,lien site onisep.fr,nom publication,collection,année,gencod,GFE,code ROME,libellé ROME,lien ROME
sommelier / sommelière,http://www.onisep.fr/http/redirection/metier/identifiant/10159,Les métiers du goût et des saveurs,Parcours,2018,9782273013888,"S : Hôtellerie, tourisme, loisirs",G1802,Management du service en restauration,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1802
actuaire,http://www.onisep.fr/http/redirection/metier/identifiant/10084,"Les métiers de la banque, de la finance et de l'assurance",Parcours,2016,9782273012829,"Q : Commerce, gestion, finances",C1105,Études actuarielles en assurances,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1105
secrétaire,http://www.onisep.fr/http/redirection/metier/identifiant/10045,,Fiches métiers / onisep.fr,,,"Q : Commerce, gestion, finances",M1607,Secrétariat,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1607
souffleur / souffleuse de verre,http://www.onisep.fr/http/redirection/metier/identifiant/10331,,Fiches métiers / onisep.fr,,,"V : Arts, spectacle, audiovisuel",B1602,Réalisation d'objets artistiques et fonctionnels en verre,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1602
psychanalyste,http://www.onisep.fr/http/redirection/metier/identifiant/10297,,Fiches métiers / onisep.fr,,,"R : Santé, social, soins personnels",K1104,Psychologie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1104
géographe,http://www.onisep.fr/http/redirection/metier/identifiant/10292,,Fiches métiers / onisep.fr,,,"T : Environnement, nettoyage, sécurité",M1808,Information géographique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1808
géophysicien / géophysicienne,http://www.onisep.fr/http/redirection/metier/identifiant/10285,,Fiches métiers / onisep.fr,,,"T : Environnement, nettoyage, sécurité",F1105,Études géologiques,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105
ébéniste,http://www.onisep.fr/http/redirection/metier/identifiant/10402,Les métiers de la forêt et du bois,Zoom,2017,9782273013635,M : Travail du bois,H2207,Réalisation de meubles en bois,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2207
archiviste,http://www.onisep.fr/http/redirection/metier/identifiant/10188,Les métiers de l'information et de la communication,Parcours,2018,9782273013901,"P : Gestion et traitement de l'information (informatique, statistique, documentation)",K1601,Gestion de l'information et de la documentation,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1601
éditeur / éditrice,http://www.onisep.fr/http/redirection/metier/identifiant/10201,Les métiers du livre,Parcours,2017,9782273013260,"U : Communication, médias",E1105,Coordination d'édition,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1105
concepteur-rédacteur / conceptrice-rédactrice,http://www.onisep.fr/http/redirection/metier/identifiant/10184,"Les métiers du marketing, de la publicité et de la vente",Parcours,2016,9782273012799,"U : Communication, médias",E1104,Conception de contenus multimédias,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104
directeur / directrice artistique,http://www.onisep.fr/http/redirection/metier/identifiant/10183,Les métiers de l'information et de la communication,Parcours,2018,9782273013901,"U : Communication, médias",E1104,Conception de contenus multimédias,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104
photographe,http://www.onisep.fr/http/redirection/metier/identifiant/10182,Les études d'art,Dossiers,2018,9782273014052,"U : Communication, médias",E1201,Photographie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1201
cadreur / cadreuse,http://www.onisep.fr/http/redirection/metier/identifiant/10178,Les métiers du cinéma,Parcours,2018,9782273013871,"U : Communication, médias",L1505,Image cinématographique et télévisuelle,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1505
technicien thermicien / technicienne thermicienne,http://www.onisep.fr/http/redirection/metier/identifiant/10324,Les métiers de l'énergie,Parcours,2016,9782273012812,"H : Electricité, énergie, électronique",I1308,Maintenance d'installation de chauffage,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1308
